date,weather_code,temperature_2m_mean,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,rain_sum,precipitation_hours,wind_speed_10m_max,shortwave_radiation_sum
2023-01-01,1.0,22.303,16.606285,0,0,40238.938,36000.0,0.0,0.0,26.525429,18.71
2023-01-02,1.0,21.275919,16.000692,0,0,40253.203,36000.0,0.0,0.0,23.78453,18.69
2023-01-03,1.0,21.530083,16.101446,0,0,40268.75,36000.0,0.0,0.0,25.364037,17.84
2023-01-04,1.0,21.640501,16.857042,0,0,40285.555,36000.0,0.0,0.0,22.963936,18.79
2023-01-05,1.0,23.011335,18.337221,0,0,40303.566,36000.0,0.0,0.0,19.48661,18.34
2023-01-06,1.0,24.709253,19.864376,0,0,40322.77,36000.0,0.0,0.0,24.850431,18.35
2023-01-07,1.0,25.373835,20.427023,0,0,40343.117,36000.0,0.0,0.0,26.700743,18.4
2023-01-08,1.0,25.592583,21.278372,0,0,40364.574,36000.0,0.0,0.0,22.057161,18.28
2023-01-09,1.0,24.480085,19.344717,0,0,40387.11,30737.553,0.0,0.0,22.288042,14.69
2023-01-10,1.0,22.8155,17.188135,0,0,40410.69,34520.746,0.0,0.0,23.358425,18.47
2023-01-11,1.0,21.39675,16.507225,0,0,40435.285,36007.703,0.0,0.0,20.316889,19.27
2023-01-12,1.0,21.62175,16.64802,0,0,40460.844,36099.77,0.0,0.0,22.346113,19.39
2023-01-13,1.0,21.698835,16.429216,0,0,40487.35,36093.76,0.0,0.0,22.346113,19.41
2023-01-14,1.0,22.188416,17.004297,0,0,40514.758,36190.207,0.0,0.0,24.336637,19.32
2023-01-15,1.0,22.9655,17.960672,0,0,40543.047,36185.258,0.0,0.0,23.499481,19.29
2023-01-16,0.0,23.338417,18.22438,0,0,40572.168,36180.06,0.0,0.0,23.051247,19.41
2023-01-17,1.0,23.380081,17.976908,0,0,40602.094,36174.64,0.0,0.0,25.959969,19.02
2023-01-18,1.0,23.280083,18.680994,0,0,40632.855,36277.473,0.0,0.0,17.339897,19.49
2023-01-19,0.0,23.313417,18.956331,0,0,40664.793,36272.875,0.0,0.0,13.217443,19.5
2023-01-20,0.0,24.505083,19.651218,0,0,40697.906,36379.07,0.0,0.0,21.626984,19.57
2023-01-21,0.0,24.90925,20.2993,0,0,40732.15,36375.14,0.0,0.0,13.854155,19.73
2023-01-22,1.0,25.436335,21.579264,0,0,40767.453,36484.51,0.0,0.0,12.387348,19.8
2023-01-23,0.0,26.653002,23.08381,0,0,40803.773,36481.168,0.0,0.0,14.05845,19.79
2023-01-24,1.0,27.959251,24.145903,0,0,40841.047,36477.504,0.0,0.0,13.979872,19.71
2023-01-25,1.0,28.192589,24.435522,0,0,40879.22,36590.69,0.0,0.0,13.009903,19.75
2023-01-26,1.0,27.867582,23.129988,0,0,40918.234,36587.543,0.0,0.0,22.66857,19.81
2023-01-27,1.0,25.575914,20.363398,0,0,40958.043,36464.78,0.0,0.0,20.176065,19.62
2023-01-28,1.0,19.894665,14.032313,0,0,40998.594,36941.49,0.0,0.0,21.53089,20.94
2023-01-29,1.0,17.82175,12.723098,0,0,41039.83,36455.027,0.0,0.0,17.81909,20.78
2023-01-30,1.0,19.248835,14.193267,0,0,41081.69,37061.53,0.0,0.0,16.45007,21.45
2023-01-31,1.0,20.623833,15.469996,0,0,41124.14,37060.82,0.0,0.0,15.94601,21.17
2023-02-01,1.0,23.080084,18.319546,0,0,41167.12,36811.43,0.0,0.0,15.158522,20.85
2023-02-02,1.0,25.063416,20.683397,0,0,41210.586,36933.375,0.0,0.0,18.161278,20.35
2023-02-03,1.0,25.323835,19.765736,0,0,41254.477,36930.887,0.0,0.0,22.91026,20.4
2023-02-04,1.0,24.925913,19.484858,0,0,41298.754,37054.824,0.0,0.0,23.0653,20.56
2023-02-05,0.0,26.150917,21.338852,0,0,41343.37,37180.062,0.0,0.0,16.23596,20.87
2023-02-06,1.0,28.000916,23.935171,0,0,41388.277,37306.527,0.0,0.0,14.182355,21.12
2023-02-07,1.0,28.896751,24.249186,0,0,41433.5,30768.488,0.0,0.0,26.562046,18.89
2023-02-08,1.0,28.686335,24.114653,0,0,41479.49,37433.316,0.0,0.0,25.661207,21.3
2023-02-09,0.0,27.950914,23.549843,0,0,41526.258,37432.234,0.0,0.0,22.530937,21.48
2023-02-10,1.0,28.623835,23.420702,0,0,41573.754,37561.63,0.0,0.0,29.168886,21.56
2023-02-11,0.0,28.421753,23.28205,0,0,41621.93,37560.652,0.0,0.0,25.277023,21.63
2023-02-12,0.0,28.7155,23.463593,0,0,41670.727,37559.44,0.0,0.0,27.086262,21.48
2023-02-13,1.0,28.8405,23.832092,0,0,41720.098,37558.027,0.0,0.0,27.416782,21.27
2023-02-14,1.0,28.750917,23.555809,0,0,41769.99,37556.406,0.0,0.0,32.402,21.32
2023-02-15,1.0,25.488419,19.468105,0,0,41820.35,36000.0,0.0,0.0,32.078403,20.56
2023-02-16,1.0,24.007166,17.793627,0,0,41871.133,37418.836,0.0,0.0,31.003918,20.9
2023-02-17,3.0,24.275917,17.989067,0,0,41922.28,23463.562,0.0,0.0,32.138947,15.02
2023-02-18,0.0,24.450914,18.749287,0,0,41973.758,37683.195,0.0,0.0,27.72,22.1
2023-02-19,1.0,25.196747,19.542768,0,0,42025.51,37681.324,0.0,0.0,26.28986,22.15
2023-02-20,1.0,25.657166,20.318506,0,0,42077.484,36000.0,0.0,0.0,22.461807,21.96
2023-02-21,1.0,26.425919,21.26766,0,0,42129.65,37813.24,0.0,0.0,22.862125,22.37
2023-02-22,1.0,26.800917,22.310259,0,0,42181.945,37675.145,0.0,0.0,16.263872,22.25
2023-02-23,0.0,27.490501,23.315033,0,0,42234.332,37672.94,0.0,0.0,12.979984,22.29
2023-02-24,0.0,29.259253,25.197212,0,0,42286.766,37670.688,0.0,0.0,16.58346,22.27
2023-02-25,0.0,29.988417,25.706606,0,0,42339.195,37668.402,0.0,0.0,19.376562,22.36
2023-02-26,2.0,28.930079,25.15817,0,0,42391.586,37390.73,0.0,0.0,17.58481,21.75
2023-02-27,2.0,28.338417,23.252031,0,0,42443.965,37387.79,0.0,0.0,24.216522,22.16
2023-02-28,1.0,27.944666,23.462782,0,0,42496.76,37523.12,0.0,0.0,18.25026,22.19
2023-03-01,0.0,28.025917,23.569815,0,0,42550.008,37520.473,0.0,0.0,17.208603,22.43
2023-03-02,1.0,27.91758,23.478441,0,0,42603.664,37379.016,0.0,0.0,16.75064,22.61
2023-03-03,0.0,28.061333,23.067198,0,0,42657.684,37515.223,0.0,0.0,22.725668,22.84
2023-03-04,1.0,29.217585,24.250277,0,0,42712.03,34006.67,0.0,0.0,19.803272,21.51
2023-03-05,3.0,31.161331,26.102737,0,0,42766.66,37231.03,0.0,0.0,23.411074,20.92
2023-03-06,1.0,31.230085,25.958906,0,0,42821.535,37507.6,0.0,0.0,26.983194,22.71
2023-03-07,1.0,29.875917,24.463213,0,0,42876.613,37225.24,0.0,0.0,21.2522,22.76
2023-03-08,1.0,29.813416,24.40993,0,0,42931.855,35157.42,0.0,0.0,21.2522,21.07
2023-03-09,1.0,31.153002,26.73184,0,0,42987.22,37500.477,0.0,0.0,17.727943,23.03
2023-03-10,2.0,33.113415,29.758265,0,0,43042.66,37217.113,0.0,0.0,14.618837,22.74
2023-03-11,2.0,34.642582,31.59086,0,0,43098.156,36088.54,0.0,0.0,20.26899,21.42
2023-03-12,1.0,34.036335,29.809298,0,0,43153.656,32373.082,0.0,0.0,25.96995,21.24
2023-03-13,1.0,33.098835,28.580763,0,0,43209.113,37350.8,0.0,0.0,17.377226,23.2
2023-03-14,1.0,31.6905,28.347916,0,0,43264.51,37348.664,0.0,0.0,11.27553,23.3
2023-03-15,2.0,32.073837,27.98146,0,0,43319.79,34203.684,0.0,0.0,18.345877,22.59
2023-03-16,0.0,31.880083,27.766596,0,0,43374.918,37344.598,0.0,0.0,22.86496,23.43
2023-03-17,1.0,30.417585,26.55098,0,0,43429.855,37342.68,0.0,0.0,13.1041975,23.62
2023-03-18,1.0,30.488419,26.163162,0,0,43484.566,37482.87,0.0,0.0,21.273533,23.73
2023-03-19,0.0,29.463419,24.684769,0,0,43539.08,37676.293,0.0,0.0,17.935081,24.52
2023-03-20,0.0,30.2155,25.584696,0,0,43593.79,37522.145,0.0,0.0,20.478907,24.04
2023-03-21,0.0,28.215498,24.629274,0,0,43648.727,37509.99,0.0,0.0,18.782204,23.7
2023-03-22,1.0,28.032167,24.776031,0,0,43703.86,37476.78,0.0,0.0,13.708391,23.77
2023-03-23,1.0,28.93425,24.500198,0,0,43759.156,36618.16,0.0,0.0,24.36325,23.89
2023-03-24,1.0,29.025915,25.02553,0,0,43814.574,37596.707,0.0,0.0,20.929594,23.86
2023-03-25,0.0,30.117582,26.369165,0,0,43870.082,37710.668,0.0,0.0,19.161337,24.11
2023-03-26,0.0,31.74675,27.275549,0,0,43925.637,37700.01,0.0,0.0,25.223133,23.88
2023-03-27,0.0,31.81967,26.65016,0,0,43981.21,37817.258,0.0,0.0,30.293522,23.88
2023-03-28,1.0,31.946749,26.748262,0,0,44036.76,37951.316,0.0,0.0,27.77838,23.3
2023-03-29,1.0,30.750917,25.20175,0,0,44092.258,38071.977,0.0,0.0,29.620802,24.6
2023-03-30,0.0,30.807167,24.913794,0,0,44147.664,38338.953,0.0,0.0,26.368616,24.85
2023-03-31,0.0,30.840494,24.286613,0,0,44202.938,38464.035,0.0,0.0,33.137604,24.97
2023-04-01,1.0,30.286331,24.900558,0,0,44258.043,37590.285,0.0,0.0,29.157776,24.93
2023-04-02,1.0,30.380083,25.380968,0,0,44312.945,37747.297,0.0,0.0,29.784426,24.61
2023-04-03,1.0,30.990501,26.604553,0,0,44367.598,36587.73,0.0,0.0,17.163355,22.91
2023-04-04,0.0,31.046751,27.075111,0,0,44421.977,38856.176,0.0,0.0,15.778516,25.05
