date,weather_code,temperature_2m_mean,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,rain_sum,precipitation_hours,wind_speed_10m_max,shortwave_radiation_sum
2023-01-01,1.0,24.482164,20.49262,0,0,40984.66,38301.008,0.0,0.0,16.65754,19.97
2023-01-02,1.0,23.871752,20.253239,0,0,40995.703,35343.477,0.0,0.0,18.35647,19.39
2023-01-03,1.0,23.434252,19.745459,0,0,41007.734,38328.1,0.0,0.0,16.800856,19.56
2023-01-04,0.0,22.698835,19.268272,0,0,41020.734,38343.31,0.0,0.0,15.546833,20.61
2023-01-05,1.0,23.175913,19.712156,0,0,41034.684,38359.57,0.0,0.0,15.349684,20.48
2023-01-06,1.0,24.188414,21.187489,0,0,41049.543,38376.863,0.0,0.0,14.76439,20.33
2023-01-07,0.0,25.45925,22.382118,0,0,41065.293,38395.152,0.0,0.0,17.0763,20.2
2023-01-08,1.0,26.398834,23.027603,0,0,41081.906,38414.4,0.0,0.0,17.610588,20.15
2023-01-09,1.0,25.809248,21.54077,0,0,41099.355,38434.57,0.0,0.0,20.88,20.12
2023-01-10,1.0,25.90925,21.961868,0,0,41117.613,38455.637,0.0,0.0,17.826363,20.54
2023-01-11,0.0,25.186335,21.409792,0,0,41136.652,38477.562,0.0,0.0,14.982228,20.78
2023-01-12,1.0,24.940498,21.72841,0,0,41156.45,38500.316,0.0,0.0,11.304229,20.85
2023-01-13,1.0,24.9905,21.738714,0,0,41176.977,38521.42,0.0,0.0,14.021525,20.99
2023-01-14,1.0,24.355085,20.709532,0,0,41198.207,38511.08,0.0,0.0,13.854155,20.74
2023-01-15,1.0,24.419664,20.604803,0,0,41220.113,38502.008,0.0,0.0,14.24163,20.71
2023-01-16,1.0,24.821749,21.014444,0,0,41242.668,38494.258,0.0,0.0,16.363178,21.28
2023-01-17,0.0,24.917585,21.309666,0,0,41265.855,38487.883,0.0,0.0,15.124284,21.25
2023-01-18,0.0,24.609251,21.006369,0,0,41289.688,38482.926,0.0,0.0,14.773164,21.29
2023-01-19,0.0,24.74675,21.17713,0,0,41314.434,38479.164,0.0,0.0,16.363178,21.18
2023-01-20,0.0,25.271746,22.16868,0,0,41340.098,38476.508,0.0,0.0,11.770403,21.31
2023-01-21,1.0,26.067583,23.618673,0,0,41366.63,38474.95,0.0,0.0,11.966954,21.41
2023-01-22,1.0,26.571749,24.173622,0,0,41393.996,38474.473,0.0,0.0,12.682018,21.28
2023-01-23,1.0,27.713417,25.454338,0,0,41422.15,38475.066,0.0,0.0,13.004921,20.93
2023-01-24,2.0,28.88217,27.2099,0,0,41451.047,34727.754,0.0,0.0,12.074766,18.99
2023-01-25,3.0,29.278002,27.658243,0,0,41480.64,38389.17,0.0,0.0,10.948973,20.87
2023-01-26,1.0,29.303001,26.242975,0,0,41510.895,38483.14,0.0,0.0,16.87398,21.38
2023-01-27,1.0,27.715502,23.872406,0,0,41541.766,37980.918,0.0,0.0,20.65848,21.56
2023-01-28,1.0,25.855082,21.968277,0,0,41573.21,38493.664,0.0,0.0,15.941944,21.94
2023-01-29,1.0,22.713415,18.699589,0,0,41605.195,38500.43,0.0,0.0,13.246826,22.23
2023-01-30,1.0,23.286331,19.262201,0,0,41637.67,38508.195,0.0,0.0,15.7908325,21.91
2023-01-31,1.0,24.511332,20.819098,0,0,41670.605,38516.94,0.0,0.0,14.336861,21.7
2023-02-01,1.0,25.98217,22.368643,0,0,41703.953,38526.656,0.0,0.0,13.324863,21.8
2023-02-02,1.0,26.490501,22.714302,0,0,41737.68,38537.344,0.0,0.0,14.113652,21.88
2023-02-03,1.0,26.434252,22.252022,0,0,41771.746,38548.984,0.0,0.0,16.311613,22.02
2023-02-04,1.0,25.905085,21.877935,0,0,41806.117,38504.375,0.0,0.0,15.379206,21.93
2023-02-05,1.0,25.994673,22.294825,0,0,41840.746,38503.254,0.0,0.0,14.8257065,22.17
2023-02-06,1.0,27.536331,24.039438,0,0,41875.613,38366.656,0.0,0.0,13.849477,20.18
2023-02-07,2.0,27.8405,24.731491,0,0,41910.727,36871.145,0.0,0.0,14.88242,21.33
2023-02-08,0.0,28.105082,24.4422,0,0,41946.438,38621.66,0.0,0.0,19.174856,22.49
2023-02-09,0.0,28.523834,25.37445,0,0,41982.76,38639.562,0.0,0.0,14.003029,22.44
2023-02-10,0.0,29.75717,26.8968,0,0,42019.656,38658.66,0.0,0.0,14.186923,22.33
2023-02-11,0.0,30.748833,28.415491,0,0,42057.082,38678.89,0.0,0.0,14.77755,22.48
2023-02-12,0.0,29.886335,26.173605,0,0,42094.996,38700.203,0.0,0.0,22.768398,23.07
2023-02-13,1.0,28.852999,25.144407,0,0,42133.36,38722.535,0.0,0.0,21.933426,22.81
2023-02-14,1.0,29.367584,25.552475,0,0,42172.13,38745.83,0.0,0.0,24.798223,23.05
2023-02-15,3.0,28.723833,25.281992,0,0,42211.273,37599.35,0.0,0.0,21.316135,19.64
2023-02-16,51.0,28.434252,24.290075,0,0,42250.742,26444.363,0.1,1.0,20.418695,12.89
2023-02-17,3.0,28.625914,25.152054,0,0,42290.51,32988.03,0.0,0.0,15.856356,21.39
2023-02-18,3.0,28.22175,24.305082,0,0,42330.53,38847.477,0.0,0.0,17.227419,23.03
2023-02-19,2.0,27.530083,24.071917,0,0,42370.773,38874.734,0.0,0.0,15.856356,23.27
2023-02-20,1.0,28.296747,24.7161,0,0,42411.195,38902.61,0.0,0.0,16.73516,23.41
2023-02-21,1.0,28.709251,24.88146,0,0,42451.77,38931.06,0.0,0.0,17.026896,23.46
2023-02-22,1.0,29.161331,25.409386,0,0,42492.445,38960.023,0.0,0.0,15.716793,23.38
2023-02-23,0.0,29.382166,26.312164,0,0,42533.207,38989.453,0.0,0.0,11.720751,23.39
